"","2002 Base","2002 lci","2002 uci","2003 Base","2003 lci","2003 uci","2004 Base","2004 lci","2004 uci","2005 Base","2005 lci","2005 uci","2006 Base","2006 lci","2006 uci","2007 Base","2007 lci","2007 uci","2008 Base","2008 lci","2008 uci","2009 Base","2009 lci","2009 uci","2010 Base","2010 lci","2010 uci","2011 Base","2011 lci","2011 uci","2012 Base","2012 lci","2012 uci"
"120-131",74.5841165705472,58.704009453152,92.3566213026632,16.5499595178044,11.5981860968395,22.3682104709863,19.4576583547843,11.8445168929479,28.9576305448619,10.7833048941788,5.42250992117657,18.0237628802681,11.0693249999402,5.60032389263255,18.4188521892632,4.83311928913198,1.58129018960935,9.94535826953483,3.96214595429152,1.07875116561102,8.70155369808791,2.32505787499629,0.354266912602391,6.12160718989524,1.30745295323462,0.0705627496322786,4.30575488327294,0.676320420842096,0.00392858103732684,2.96164849408112,0.328900193984659,1.26920291104324e-05,1.99727035863547
"132-143",31.9686240159877,24.337140192932,40.6249325743368,42.9706399296978,31.1427393149078,56.689552284311,18.5340065210938,11.1959005697611,27.7579707626769,3.8701344115275,1.57379161500783,7.18170810068896,6.8422641623667,2.73419372127309,12.822996158112,4.54724614807828,1.42423284925629,9.52858132049412,3.1091729821678,0.671168509655177,7.39181638994809,1.88306620354828,0.211005128694941,5.36162862190004,1.08086891638748,0.0363935032762877,3.85256643979446,0.566634698352651,0.00143107925532653,2.68587947480066,0.273775900275166,1.85963374443634e-06,1.8030075007685
"144-155",0,0,0,45.4333626537408,33.2242241911093,59.5337270764651,14.4646930820757,8.02781464790329,22.7858962940341,6.94843499569522,3.90270811554149,10.8581696315139,4.91474554821265,1.58910505171833,10.1040819081514,4.62820965047399,1.4822362793818,9.63174857407078,2.61194948639837,0.459986294693092,6.59852794828406,1.64247275278869,0.141494193478683,4.93678958010474,0.988742813590355,0.0243552479626116,3.66457901439035,0.531739114340873,0.000831319378283984,2.59649231150878,0.25379064445016,4.15026551133842e-07,1.73049797884643
"156-167",0,0,0,20.995132166451,14.9125222676938,28.1019034111117,14.1258009515096,7.80454212021126,22.3307857318454,16.6236679317536,9.62629634169364,25.5068949773953,3.70425929864595,0.949321086483864,8.31243580387991,1.59656394057104,0.322924466206608,3.86814429555522,2.0860409067262,0.281396980878104,5.70452252481308,1.27722885899428,0.0822387663575316,4.21162714299887,0.852630912106185,0.0168902870180758,3.35250532826159,0.472634608756389,0.000669955343777987,2.42162726865185,0.222369013783896,3.88859298174211e-07,1.59263347900326
"168-179",0,0,0,2.33648804347466,0.769214426025393,4.75886209898453,5.62057721452106,2.73844335989875,9.52143528025864,9.94131404964209,5.92564219349427,14.9789695372841,1.96657260898709,0.39224602430752,5.22170992787483,0.159418370286076,8.15889134445248e-06,0.944752147250547,1.02599611945975,0.0783106146107758,3.52933332727487,0.504855105556809,0.00644871709188723,2.27514745533251,0.383525037154566,0.00143092078240995,1.94283792517661,0.216858168253837,1.45028691108187e-05,1.38079012295472,0.101074713842371,1.07048374172075e-10,0.837678374247641
"180-191",0.870836212075472,0.0971011342022669,2.47368509457512,3.21276045329103,0.919964461609646,7.3003454952452,0,0,0,0,0,0,0.25114465150136,0.000146120251796371,1.30588512596581,0.21166756950919,9.64232614729927e-06,1.38003842978692,0.177870535714705,8.13116421297098e-07,1.27349340321592,0.0630724826458256,1.142622770233e-16,0.597703627430722,0.0510474349329501,6.37893356542284e-21,0.512932150951612,0.0288788619897136,4.52829267405258e-36,0.298696836183417,0.0134520268928315,4.99945664634047e-76,0.116285433676212
"192-203",1.4694736576909,0.124549722809185,4.57601072890443,0.739203360946726,0.0129674597598506,3.06648584317528,0,0,0,0,0,0,0,0,0,0.0375470816055456,8.66922824013817e-33,0.412865041720312,0.0357768807054341,4.65542924994002e-31,0.378564418088026,0.00962724186025537,5.40705620307587e-107,0.0649977298267431,0.00920897444359354,5.8109233302003e-106,0.0661358380520844,0.00523211519551224,4.91974088043579e-186,0.0170323480663624,0.00243823773821073,0,NA
"204-",0.520358785917206,0.0115745343915508,1.95303101657958,0.243057431866815,0.000111176776675045,1.28283996939846,0,0,0,0,0,0,0.0274949890545024,5.31446418913639e-28,0.304589693689711,0.0185823089060579,2.82964822235569e-74,0.171205642467605,0.0126094115321652,5.3074135708775e-111,0.0835755698689179,0.00301814813940632,0,NA,0.00159091288850153,0,NA,0.000926301844907773,0,NA,0.00043720522299407,0,NA
"p1",0,0,0,0,0,0,0,0,0,0,0,0,0.0324940780171312,6.28073041377588e-28,0.359969638480246,0.00791964294507951,8.21862862105299e-111,0.0606527299531875,0.00555864730590126,2.35900256698297e-157,0.0273318502881012,0.00158124374150133,0,NA,0.000591557259741802,0,NA,0.000345848006637181,0,NA,0.00016386475712241,0,NA
"p2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
